transaction_id,customer_id,date,description,payee,amount,channel,category,region
C001-T036,C001,2026-01-01T14:16:59,Retail purchase at Bright Fitness,Bright Fitness,45.65,online,retail,nearby_region
C001-T049,C001,2026-01-12T08:21:49,Fuel purchase at North Fuel,North Fuel,92.1,ach,fuel,home_region
C001-T034,C001,2026-01-13T18:34:53,Groceries purchase at Metro Grocery,Metro Grocery,135.91,card,groceries,home_region
C001-T031,C001,2026-01-14T18:41:41,Transport purchase at City Transit,City Transit,16.0,online,transport,home_region
C001-T023,C001,2026-01-15T11:56:36,Transport purchase at City Transit,City Transit,19.3how th1,ach,transport,home_region
C001-T038,C001,2026-01-16T19:20:03,Groceries purchase at Metro Grocery,Metro Grocery,85.11,online,groceries,nearby_region
C001-T017,C001,2026-01-17T14:24:38,Retail purchase at Bright Fitness,Bright Fitness,77.84,online,retail,home_region
C001-T009,C001,2026-01-21T11:55:06,Fitness purchase at Luma Utilities,Luma Utilities,44.69,online,fitness,home_region
C001-T041,C001,2026-01-21T14:42:37,Utilities purchase at Orbit Telecom,Orbit Telecom,131.38,card,utilities,home_region
C001-T006,C001,2026-01-24T14:06:22,Utilities purchase at Orbit Telecom,Orbit Telecom,87.69,card,utilities,home_region
C001-T046,C001,2026-01-27T10:16:07,Transport purchase at City Transit,City Transit,106.0,card,transport,home_region
C001-T032,C001,2026-01-28T11:12:12,Retail purchase at Bright Fitness,Bright Fitness,26.5,card,retail,home_region
C001-T060,C001,2026-01-28T17:27:22,Utilities purchase at Orbit Telecom,Orbit Telecom,65.6,online,utilities,home_region
C001-T001,C001,2026-01-29T08:47:17,Health purchase at River Pharmacy,River Pharmacy,37.46,online,health,home_region
C001-T018,C001,2026-01-30T18:56:34,Dining purchase at Cloud Bistro,Cloud Bistro,109.46,ach,dining,home_region
C001-T044,C001,2026-02-03T13:56:04,Health purchase at River Pharmacy,River Pharmacy,56.78,card,health,home_region
C001-T069,C001,2026-02-07T08:02:15,Retail purchase at Bright Fitness,Bright Fitness,88.69,card,retail,home_region
C001-T039,C001,2026-02-10T08:32:05,Fuel purchase at North Fuel,North Fuel,17.04,card,fuel,home_region
C001-T010,C001,2026-02-11T13:22:13,Dining purchase at Cloud Bistro,Cloud Bistro,100.64,online,dining,home_region
C001-T011,C001,2026-02-13T16:46:15,Fuel purchase at North Fuel,North Fuel,69.02,ach,fuel,nearby_region
C001-T065,C001,2026-02-14T17:36:19,Fitness purchase at Luma Utilities,Luma Utilities,80.33,card,fitness,home_region
C001-T030,C001,2026-02-18T09:06:42,Fitness purchase at Luma Utilities,Luma Utilities,54.77,ach,fitness,home_region
C001-T021,C001,2026-02-20T10:23:48,Fuel purchase at North Fuel,North Fuel,79.2,online,fuel,home_region
C001-T012,C001,2026-02-26T18:20:53,Groceries purchase at Metro Grocery,Metro Grocery,38.23,card,groceries,home_region
C001-T028,C001,2026-02-28T09:57:02,Utilities purchase at Orbit Telecom,Orbit Telecom,17.35,card,utilities,home_region
C001-T054,C001,2026-03-02T10:51:51,Fuel purchase at North Fuel,North Fuel,124.35,card,fuel,home_region
C001-T042,C001,2026-03-03T12:25:08,Dining purchase at Cloud Bistro,Cloud Bistro,68.35,card,dining,home_region
C001-T047,C001,2026-03-14T17:13:45,Utilities purchase at Orbit Telecom,Orbit Telecom,34.87,online,utilities,home_region
C001-T066,C001,2026-03-15T11:27:50,Utilities purchase at Orbit Telecom,Orbit Telecom,69.38,ach,utilities,home_region
C001-T019,C001,2026-03-17T14:10:29,Groceries purchase at Metro Grocery,Metro Grocery,133.9,online,groceries,home_region
C001-T057,C001,2026-03-20T20:55:14,Health purchase at River Pharmacy,River Pharmacy,11.12,card,health,home_region
C001-T063,C001,2026-03-22T18:54:07,Dining purchase at Cloud Bistro,Cloud Bistro,74.94,online,dining,home_region
C001-T022,C001,2026-03-24T15:01:07,Utilities purchase at Orbit Telecom,Orbit Telecom,123.99,ach,utilities,home_region
C001-T064,C001,2026-03-25T14:44:18,Fuel purchase at North Fuel,North Fuel,33.32,online,fuel,home_region
C001-T058,C001,2026-03-26T12:55:04,Dining purchase at Cloud Bistro,Cloud Bistro,54.35,online,dining,home_region
C001-T068,C001,2026-03-27T09:52:48,Health purchase at River Pharmacy,River Pharmacy,96.81,card,health,home_region
C001-T055,C001,2026-03-27T20:59:26,Health purchase at River Pharmacy,River Pharmacy,43.22,online,health,home_region
C001-T053,C001,2026-04-01T20:35:56,Fitness purchase at Luma Utilities,Luma Utilities,136.55,online,fitness,home_region
C001-T008,C001,2026-04-03T17:12:45,Transport purchase at City Transit,City Transit,14.05,card,transport,home_region
C001-T052,C001,2026-04-04T20:55:02,Utilities purchase at Orbit Telecom,Orbit Telecom,35.73,card,utilities,home_region
C001-T056,C001,2026-04-08T08:54:30,Health purchase at River Pharmacy,River Pharmacy,34.34,ach,health,home_region
C001-T061,C001,2026-04-09T17:12:16,Groceries purchase at Metro Grocery,Metro Grocery,101.56,card,groceries,nearby_region
C001-T013,C001,2026-04-13T12:04:13,Utilities purchase at Orbit Telecom,Orbit Telecom,36.07,ach,utilities,home_region
C001-T040,C001,2026-04-14T09:56:36,Health purchase at River Pharmacy,River Pharmacy,84.42,card,health,nearby_region
C001-T035,C001,2026-04-15T15:30:13,Fitness purchase at Luma Utilities,Luma Utilities,127.12,card,fitness,home_region
C001-T070,C001,2026-04-17T18:36:12,Fitness purchase at Luma Utilities,Luma Utilities,73.26,card,fitness,home_region
C001-T004,C001,2026-04-18T11:28:37,Dining purchase at Cloud Bistro,Cloud Bistro,114.84,card,dining,home_region
C001-T005,C001,2026-04-19T13:17:09,Health purchase at River Pharmacy,River Pharmacy,134.35,ach,health,home_region
C001-T026,C001,2026-04-23T16:28:07,Health purchase at River Pharmacy,River Pharmacy,37.66,ach,health,home_region
C001-T050,C001,2026-04-24T16:45:27,Groceries purchase at Metro Grocery,Metro Grocery,22.77,online,groceries,home_region
C001-T014,C001,2026-04-28T10:16:08,Health purchase at River Pharmacy,River Pharmacy,106.34,online,health,home_region
C001-T043,C001,2026-04-28T17:36:06,Transport purchase at City Transit,City Transit,78.97,online,transport,home_region
C001-T033,C001,2026-04-29T11:55:59,Transport purchase at City Transit,City Transit,66.49,online,transport,home_region
C001-T037,C001,2026-05-05T10:12:18,Health purchase at River Pharmacy,River Pharmacy,135.87,online,health,nearby_region
C001-T029,C001,2026-05-05T11:34:08,Retail purchase at Bright Fitness,Bright Fitness,40.08,ach,retail,home_region
C001-T016,C001,2026-05-07T09:48:03,Transport purchase at City Transit,City Transit,28.18,card,transport,home_region
C001-T020,C001,2026-05-09T20:11:32,Transport purchase at City Transit,City Transit,122.91,ach,transport,nearby_region
C001-T048,C001,2026-05-10T15:16:57,Groceries purchase at Metro Grocery,Metro Grocery,20.18,ach,groceries,home_region
C001-T003,C001,2026-05-10T17:01:35,Health purchase at River Pharmacy,River Pharmacy,102.51,online,health,nearby_region
C001-T067,C001,2026-05-11T15:50:57,Fuel purchase at North Fuel,North Fuel,94.97,ach,fuel,nearby_region
C001-T025,C001,2026-05-16T17:27:13,Health purchase at River Pharmacy,River Pharmacy,102.11,ach,health,home_region
C001-T024,C001,2026-05-17T20:08:08,Retail purchase at Bright Fitness,Bright Fitness,132.98,card,retail,home_region
C001-T007,C001,2026-05-18T09:59:24,Transport purchase at City Transit,City Transit,80.87,online,transport,nearby_region
C001-T059,C001,2026-05-18T13:01:07,Dining purchase at Cloud Bistro,Cloud Bistro,31.57,ach,dining,home_region
